999|NO PROMOTION #|NO RPOMOTION|11|NO PROMOTION|2|0|9999-01-01-00-00-00|9999-01-01-00-00-00|Promotion total|1
446|post promotion #21-446|freeway billboard|21|post|9|58400|1999-01-05-00-00-00|1999-04-05-00-00-00|Promotion total|1
519|TV promotion #30-519|promotion movie|30|TV|3|58500|1998-09-07-00-00-00|1998-11-07-00-00-00|Promotion total|1
313|post promotion #21-313|freeway billboard|21|post|9|58600|1999-01-18-00-00-00|1999-04-18-00-00-00|Promotion total|1
390|internet promotion #25-390|loyal customer discount|25|internet|6|58700|1999-01-29-00-00-00|1999-04-29-00-00-00|Promotion total|1
191|flyer promotion #23-191|hospital flyer|23|flyer|5|58900|2000-02-01-00-00-00|2000-03-01-00-00-00|Promotion total|1
54|TV promotion #13-54|TV program sponsorship|13|TV|3|59000|1999-10-07-00-00-00|2000-01-07-00-00-00|Promotion total|1
351|TV promotion #13-351|TV program sponsorship|13|TV|3|59200|2000-02-12-00-00-00|2000-03-12-00-00-00|Promotion total|1
120|magazine promotion #18-120|coupon magazine|18|magazine|7|59300|1999-10-24-00-00-00|2000-01-24-00-00-00|Promotion total|1
77|internet promotion #29-77|online discount|29|internet|6|59700|1999-03-19-00-00-00|1999-06-19-00-00-00|Promotion total|1
128|internet promotion #29-128|online discount|29|internet|6|59800|2000-08-28-00-00-00|2000-09-28-00-00-00|Promotion total|1
317|magazine promotion #18-317|coupon magazine|18|magazine|7|60100|1999-03-27-00-00-00|1999-06-27-00-00-00|Promotion total|1
340|TV promotion #13-340|TV program sponsorship|13|TV|3|60300|1999-04-16-00-00-00|1999-07-16-00-00-00|Promotion total|1
415|TV promotion #13-415|TV program sponsorship|13|TV|3|60600|2000-12-06-00-00-00|2001-01-06-00-00-00|Promotion total|1
463|TV promotion #30-463|promotion movie|30|TV|3|61000|1999-03-15-00-00-00|1999-06-15-00-00-00|Promotion total|1
490|TV promotion #12-490|TV commercial|12|TV|3|61300|1999-01-09-00-00-00|1999-04-09-00-00-00|Promotion total|1
265|newspaper promotion #16-265|ad news|16|newspaper|8|61500|2000-05-31-00-00-00|2000-06-30-00-00-00|Promotion total|1
35|TV promotion #12-35|TV commercial|12|TV|3|61600|1998-11-30-00-00-00|1999-01-30-00-00-00|Promotion total|1
489|internet promotion #14-489|ad|14|internet|6|61700|1998-07-02-00-00-00|1998-09-02-00-00-00|Promotion total|1
450|magazine promotion #18-450|coupon magazine|18|magazine|7|61900|1999-03-27-00-00-00|1999-06-27-00-00-00|Promotion total|1
262|newspaper promotion #19-262|coupon news|19|newspaper|8|62100|2000-08-28-00-00-00|2000-09-28-00-00-00|Promotion total|1
478|TV promotion #13-478|TV program sponsorship|13|TV|3|62200|1998-06-03-00-00-00|1998-08-03-00-00-00|Promotion total|1
241|TV promotion #30-241|promotion movie|30|TV|3|62300|2000-12-23-00-00-00|2001-01-23-00-00-00|Promotion total|1
247|flyer promotion #24-247|household flyer|24|flyer|5|62500|1999-04-05-00-00-00|1999-07-05-00-00-00|Promotion total|1
336|TV promotion #13-336|TV program sponsorship|13|TV|3|62600|1998-07-17-00-00-00|1998-09-17-00-00-00|Promotion total|1
44|internet promotion #29-44|online discount|29|internet|6|62800|1999-01-21-00-00-00|1999-04-21-00-00-00|Promotion total|1
420|internet promotion #14-420|ad|14|internet|6|62900|1999-04-24-00-00-00|1999-07-24-00-00-00|Promotion total|1
246|magazine promotion #26-246|manufacture rebate magazine|26|magazine|7|63300|1999-03-28-00-00-00|1999-06-28-00-00-00|Promotion total|1
239|internet promotion #29-239|online discount|29|internet|6|63400|1998-06-11-00-00-00|1998-08-11-00-00-00|Promotion total|1
53|internet promotion #29-53|online discount|29|internet|6|63500|1998-06-24-00-00-00|1998-08-24-00-00-00|Promotion total|1
388|post promotion #21-388|freeway billboard|21|post|9|63800|2000-12-07-00-00-00|2001-01-07-00-00-00|Promotion total|1
503|TV promotion #13-503|TV program sponsorship|13|TV|3|63900|1998-07-26-00-00-00|1998-09-26-00-00-00|Promotion total|1
255|newspaper promotion #19-255|coupon news|19|newspaper|8|64000|1998-07-01-00-00-00|1998-09-01-00-00-00|Promotion total|1
454|post promotion #20-454|downtown billboard|20|post|9|64300|2000-12-07-00-00-00|2001-01-07-00-00-00|Promotion total|1
459|newspaper promotion #19-459|coupon news|19|newspaper|8|65000|1998-09-02-00-00-00|1998-11-02-00-00-00|Promotion total|1
189|newspaper promotion #19-189|coupon news|19|newspaper|8|65300|1998-07-01-00-00-00|1998-09-01-00-00-00|Promotion total|1
45|newspaper promotion #27-45|manufacture rebate news|27|newspaper|8|65500|2000-02-03-00-00-00|2000-03-03-00-00-00|Promotion total|1
513|newspaper promotion #27-513|manufacture rebate news|27|newspaper|8|65600|1999-10-26-00-00-00|2000-01-26-00-00-00|Promotion total|1
484|magazine promotion #18-484|coupon magazine|18|magazine|7|65700|1999-03-24-00-00-00|1999-06-24-00-00-00|Promotion total|1
510|post promotion #20-510|downtown billboard|20|post|9|65800|1999-03-03-00-00-00|1999-06-03-00-00-00|Promotion total|1
276|TV promotion #13-276|TV program sponsorship|13|TV|3|65900|1998-11-22-00-00-00|1999-01-22-00-00-00|Promotion total|1
499|TV promotion #30-499|promotion movie|30|TV|3|66000|1998-06-17-00-00-00|1998-08-17-00-00-00|Promotion total|1
151|newspaper promotion #19-151|coupon news|19|newspaper|8|66200|1999-01-27-00-00-00|1999-04-27-00-00-00|Promotion total|1
472|internet promotion #29-472|online discount|29|internet|6|66500|1998-09-11-00-00-00|1998-11-11-00-00-00|Promotion total|1
358|flyer promotion #24-358|household flyer|24|flyer|5|66600|2000-05-14-00-00-00|2000-06-14-00-00-00|Promotion total|1
468|post promotion #20-468|downtown billboard|20|post|9|66700|1998-09-10-00-00-00|1998-11-10-00-00-00|Promotion total|1
278|radio promotion #32-278|radio program sponsorship|32|radio|10|66800|2000-05-21-00-00-00|2000-06-21-00-00-00|Promotion total|1
300|newspaper promotion #19-300|coupon news|19|newspaper|8|67200|1999-04-18-00-00-00|1999-07-18-00-00-00|Promotion total|1
485|internet promotion #14-485|ad|14|internet|6|67400|2000-05-07-00-00-00|2000-06-07-00-00-00|Promotion total|1
222|internet promotion #29-222|online discount|29|internet|6|67700|1998-11-01-00-00-00|1999-01-01-00-00-00|Promotion total|1
464|magazine promotion #26-464|manufacture rebate magazine|26|magazine|7|67800|2000-05-31-00-00-00|2000-06-30-00-00-00|Promotion total|1
315|TV promotion #13-315|TV program sponsorship|13|TV|3|67900|2000-08-06-00-00-00|2000-09-06-00-00-00|Promotion total|1
326|flyer promotion #22-326|general flyer|22|flyer|5|68000|1998-09-02-00-00-00|1998-11-02-00-00-00|Promotion total|1
249|internet promotion #14-249|ad|14|internet|6|68100|1998-11-10-00-00-00|1999-01-10-00-00-00|Promotion total|1
302|post promotion #20-302|downtown billboard|20|post|9|68200|1998-07-25-00-00-00|1998-09-25-00-00-00|Promotion total|1
137|flyer promotion #23-137|hospital flyer|23|flyer|5|68500|1999-01-08-00-00-00|1999-04-08-00-00-00|Promotion total|1
42|TV promotion #13-42|TV program sponsorship|13|TV|3|68600|2000-12-22-00-00-00|2001-01-22-00-00-00|Promotion total|1
389|radio promotion #32-389|radio program sponsorship|32|radio|10|41800|1998-07-01-00-00-00|1998-09-01-00-00-00|Promotion total|1
112|radio promotion #31-112|radio commercial|31|radio|10|42100|1998-09-03-00-00-00|1998-11-03-00-00-00|Promotion total|1
386|internet promotion #29-386|online discount|29|internet|6|42700|1998-06-20-00-00-00|1998-08-20-00-00-00|Promotion total|1
419|internet promotion #25-419|loyal customer discount|25|internet|6|42900|1998-09-20-00-00-00|1998-11-20-00-00-00|Promotion total|1
365|TV promotion #30-365|promotion movie|30|TV|3|43000|1998-09-25-00-00-00|1998-11-25-00-00-00|Promotion total|1
372|flyer promotion #23-372|hospital flyer|23|flyer|5|43300|2000-05-26-00-00-00|2000-06-26-00-00-00|Promotion total|1
470|flyer promotion #23-470|hospital flyer|23|flyer|5|43400|1999-01-08-00-00-00|1999-04-08-00-00-00|Promotion total|1
480|flyer promotion #22-480|general flyer|22|flyer|5|43700|1999-04-27-00-00-00|1999-07-27-00-00-00|Promotion total|1
234|newspaper promotion #16-234|ad news|16|newspaper|8|44400|2000-08-17-00-00-00|2000-09-17-00-00-00|Promotion total|1
81|TV promotion #13-81|TV program sponsorship|13|TV|3|44500|1999-10-05-00-00-00|2000-01-05-00-00-00|Promotion total|1
414|TV promotion #13-414|TV program sponsorship|13|TV|3|44700|1999-10-05-00-00-00|2000-01-05-00-00-00|Promotion total|1
177|TV promotion #13-177|TV program sponsorship|13|TV|3|44800|1999-01-19-00-00-00|1999-04-19-00-00-00|Promotion total|1
68|magazine promotion #26-68|manufacture rebate magazine|26|magazine|7|44900|2000-12-17-00-00-00|2001-01-17-00-00-00|Promotion total|1
469|flyer promotion #24-469|household flyer|24|flyer|5|45000|1998-07-17-00-00-00|1998-09-17-00-00-00|Promotion total|1
342|magazine promotion #18-342|coupon magazine|18|magazine|7|45200|1998-11-22-00-00-00|1999-01-22-00-00-00|Promotion total|1
466|magazine promotion #18-466|coupon magazine|18|magazine|7|45300|1999-10-25-00-00-00|2000-01-25-00-00-00|Promotion total|1
126|newspaper promotion #19-126|coupon news|19|newspaper|8|45400|1998-09-02-00-00-00|1998-11-02-00-00-00|Promotion total|1
382|TV promotion #12-382|TV commercial|12|TV|3|45500|2000-08-06-00-00-00|2000-09-06-00-00-00|Promotion total|1
244|magazine promotion #18-244|coupon magazine|18|magazine|7|46100|2000-02-21-00-00-00|2000-03-21-00-00-00|Promotion total|1
432|newspaper promotion #19-432|coupon news|19|newspaper|8|46500|1998-09-25-00-00-00|1998-11-25-00-00-00|Promotion total|1
182|internet promotion #29-182|online discount|29|internet|6|46700|2000-08-06-00-00-00|2000-09-06-00-00-00|Promotion total|1
146|flyer promotion #23-146|hospital flyer|23|flyer|5|47100|1999-04-13-00-00-00|1999-07-13-00-00-00|Promotion total|1
312|post promotion #20-312|downtown billboard|20|post|9|47500|1998-09-03-00-00-00|1998-11-03-00-00-00|Promotion total|1
245|magazine promotion #18-245|coupon magazine|18|magazine|7|47600|1998-09-03-00-00-00|1998-11-03-00-00-00|Promotion total|1
170|post promotion #20-170|downtown billboard|20|post|9|47800|1998-11-08-00-00-00|1999-01-08-00-00-00|Promotion total|1
465|TV promotion #13-465|TV program sponsorship|13|TV|3|47900|1998-06-13-00-00-00|1998-08-13-00-00-00|Promotion total|1
139|internet promotion #29-139|online discount|29|internet|6|48000|1998-09-11-00-00-00|1998-11-11-00-00-00|Promotion total|1
107|TV promotion #13-107|TV program sponsorship|13|TV|3|48100|1999-10-16-00-00-00|2000-01-16-00-00-00|Promotion total|1
400|internet promotion #29-400|online discount|29|internet|6|48400|1999-10-25-00-00-00|2000-01-25-00-00-00|Promotion total|1
154|newspaper promotion #16-154|ad news|16|newspaper|8|48500|1999-04-24-00-00-00|1999-07-24-00-00-00|Promotion total|1
457|magazine promotion #18-457|coupon magazine|18|magazine|7|48700|2000-02-06-00-00-00|2000-03-06-00-00-00|Promotion total|1
517|internet promotion #29-517|online discount|29|internet|6|48800|1999-01-20-00-00-00|1999-04-20-00-00-00|Promotion total|1
164|internet promotion #29-164|online discount|29|internet|6|49100|1999-01-15-00-00-00|1999-04-15-00-00-00|Promotion total|1
103|magazine promotion #18-103|coupon magazine|18|magazine|7|49600|1998-11-08-00-00-00|1999-01-08-00-00-00|Promotion total|1
364|newspaper promotion #27-364|manufacture rebate news|27|newspaper|8|49700|2000-02-13-00-00-00|2000-03-13-00-00-00|Promotion total|1
162|flyer promotion #23-162|hospital flyer|23|flyer|5|50100|2000-12-28-00-00-00|2001-01-28-00-00-00|Promotion total|1
500|internet promotion #29-500|online discount|29|internet|6|50200|1999-10-08-00-00-00|2000-01-08-00-00-00|Promotion total|1
184|radio promotion #32-184|radio program sponsorship|32|radio|10|50400|1999-03-27-00-00-00|1999-06-27-00-00-00|Promotion total|1
492|magazine promotion #18-492|coupon magazine|18|magazine|7|50600|2000-02-28-00-00-00|2000-03-28-00-00-00|Promotion total|1
355|magazine promotion #18-355|coupon magazine|18|magazine|7|50900|1998-11-01-00-00-00|1999-01-01-00-00-00|Promotion total|1
209|magazine promotion #26-209|manufacture rebate magazine|26|magazine|7|51000|1998-11-22-00-00-00|1999-01-22-00-00-00|Promotion total|1
345|newspaper promotion #16-345|ad news|16|newspaper|8|51100|1998-06-03-00-00-00|1998-08-03-00-00-00|Promotion total|1
437|flyer promotion #22-437|general flyer|22|flyer|5|51400|1999-03-30-00-00-00|1999-06-30-00-00-00|Promotion total|1
369|TV promotion #13-369|TV program sponsorship|13|TV|3|51500|1998-11-11-00-00-00|1999-01-11-00-00-00|Promotion total|1
41|newspaper promotion #27-41|manufacture rebate news|27|newspaper|8|51600|1999-10-23-00-00-00|2000-01-23-00-00-00|Promotion total|1
374|newspaper promotion #27-374|manufacture rebate news|27|newspaper|8|51700|1999-10-16-00-00-00|2000-01-16-00-00-00|Promotion total|1
436|magazine promotion #18-436|coupon magazine|18|magazine|7|51900|1998-11-08-00-00-00|1999-01-08-00-00-00|Promotion total|1
512|newspaper promotion #16-512|ad news|16|newspaper|8|52000|1998-06-06-00-00-00|1998-08-06-00-00-00|Promotion total|1
261|flyer promotion #23-261|hospital flyer|23|flyer|5|52300|1999-04-09-00-00-00|1999-07-09-00-00-00|Promotion total|1
67|internet promotion #29-67|online discount|29|internet|6|52600|1999-10-18-00-00-00|2000-01-18-00-00-00|Promotion total|1
173|newspaper promotion #19-173|coupon news|19|newspaper|8|52700|1998-06-11-00-00-00|1998-08-11-00-00-00|Promotion total|1
526|flyer promotion #23-526|hospital flyer|23|flyer|5|53200|1998-06-28-00-00-00|1998-08-28-00-00-00|Promotion total|1
167|radio promotion #32-167|radio program sponsorship|32|radio|10|53500|1999-04-18-00-00-00|1999-07-18-00-00-00|Promotion total|1
333|internet promotion #29-333|online discount|29|internet|6|53600|1999-10-25-00-00-00|2000-01-25-00-00-00|Promotion total|1
163|post promotion #20-163|downtown billboard|20|post|9|53700|1998-07-04-00-00-00|1998-09-04-00-00-00|Promotion total|1
405|internet promotion #29-405|online discount|29|internet|6|53900|2000-02-26-00-00-00|2000-03-26-00-00-00|Promotion total|1
145|TV promotion #13-145|TV program sponsorship|13|TV|3|54000|1998-06-03-00-00-00|1998-08-03-00-00-00|Promotion total|1
127|newspaper promotion #16-127|ad news|16|newspaper|8|54100|1999-04-09-00-00-00|1999-07-09-00-00-00|Promotion total|1
187|newspaper promotion #16-187|ad news|16|newspaper|8|54300|1999-10-24-00-00-00|2000-01-24-00-00-00|Promotion total|1
391|newspaper promotion #19-391|coupon news|19|newspaper|8|54500|2000-05-23-00-00-00|2000-06-23-00-00-00|Promotion total|1
56|radio promotion #32-56|radio program sponsorship|32|radio|10|54600|1998-07-29-00-00-00|1998-09-29-00-00-00|Promotion total|1
474|TV promotion #12-474|TV commercial|12|TV|3|54700|2000-08-23-00-00-00|2000-09-23-00-00-00|Promotion total|1
523|magazine promotion #18-523|coupon magazine|18|magazine|7|54900|1999-03-02-00-00-00|1999-06-02-00-00-00|Promotion total|1
323|TV promotion #12-323|TV commercial|12|TV|3|55000|1999-01-29-00-00-00|1999-04-29-00-00-00|Promotion total|1
377|internet promotion #29-377|online discount|29|internet|6|55100|1999-01-19-00-00-00|1999-04-19-00-00-00|Promotion total|1
254|TV promotion #30-254|promotion movie|30|TV|3|55200|2000-12-07-00-00-00|2001-01-07-00-00-00|Promotion total|1
96|internet promotion #14-96|ad|14|internet|6|55300|1998-07-04-00-00-00|1998-09-04-00-00-00|Promotion total|1
109|post promotion #21-109|freeway billboard|21|post|9|55800|1998-07-22-00-00-00|1998-09-22-00-00-00|Promotion total|1
113|post promotion #21-113|freeway billboard|21|post|9|68700|1999-03-06-00-00-00|1999-06-06-00-00-00|Promotion total|1
159|newspaper promotion #19-159|coupon news|19|newspaper|8|68800|2000-05-14-00-00-00|2000-06-14-00-00-00|Promotion total|1
43|newspaper promotion #16-43|ad news|16|newspaper|8|69300|1998-07-19-00-00-00|1998-09-19-00-00-00|Promotion total|1
360|internet promotion #14-360|ad|14|internet|6|69500|1999-10-09-00-00-00|2000-01-09-00-00-00|Promotion total|1
504|TV promotion #13-504|TV program sponsorship|13|TV|3|69700|1999-01-11-00-00-00|1999-04-11-00-00-00|Promotion total|1
280|internet promotion #29-280|online discount|29|internet|6|70000|1999-10-31-00-00-00|2000-01-31-00-00-00|Promotion total|1
352|TV promotion #30-352|promotion movie|30|TV|3|70100|1998-09-20-00-00-00|1998-11-20-00-00-00|Promotion total|1
200|magazine promotion #18-200|coupon magazine|18|magazine|7|70300|1999-10-25-00-00-00|2000-01-25-00-00-00|Promotion total|1
402|newspaper promotion #19-402|coupon news|19|newspaper|8|70500|1998-06-22-00-00-00|1998-08-22-00-00-00|Promotion total|1
442|post promotion #21-442|freeway billboard|21|post|9|71000|1998-07-22-00-00-00|1998-09-22-00-00-00|Promotion total|1
371|post promotion #20-371|downtown billboard|20|post|9|71400|1999-03-30-00-00-00|1999-06-30-00-00-00|Promotion total|1
279|internet promotion #25-279|loyal customer discount|25|internet|6|71600|1998-06-03-00-00-00|1998-08-03-00-00-00|Promotion total|1
293|internet promotion #29-293|online discount|29|internet|6|71700|1998-06-02-00-00-00|1998-08-02-00-00-00|Promotion total|1
144|newspaper promotion #19-144|coupon news|19|newspaper|8|71800|2000-05-21-00-00-00|2000-06-21-00-00-00|Promotion total|1
179|magazine promotion #26-179|manufacture rebate magazine|26|magazine|7|71900|1998-09-03-00-00-00|1998-11-03-00-00-00|Promotion total|1
263|newspaper promotion #27-263|manufacture rebate news|27|newspaper|8|72000|1998-11-04-00-00-00|1999-01-04-00-00-00|Promotion total|1
130|TV promotion #30-130|promotion movie|30|TV|3|72100|1999-03-15-00-00-00|1999-06-15-00-00-00|Promotion total|1
304|TV promotion #13-304|TV program sponsorship|13|TV|3|72400|1999-03-30-00-00-00|1999-06-30-00-00-00|Promotion total|1
311|magazine promotion #18-311|coupon magazine|18|magazine|7|72500|2000-02-21-00-00-00|2000-03-21-00-00-00|Promotion total|1
174|flyer promotion #23-174|hospital flyer|23|flyer|5|72800|1999-10-16-00-00-00|2000-01-16-00-00-00|Promotion total|1
423|post promotion #20-423|downtown billboard|20|post|9|73000|1999-03-29-00-00-00|1999-06-29-00-00-00|Promotion total|1
228|magazine promotion #18-228|coupon magazine|18|magazine|7|73100|2000-12-28-00-00-00|2001-01-28-00-00-00|Promotion total|1
140|magazine promotion #15-140|ad magazine|15|magazine|7|73200|1999-04-16-00-00-00|1999-07-16-00-00-00|Promotion total|1
505|post promotion #20-505|downtown billboard|20|post|9|73500|2000-02-16-00-00-00|2000-03-16-00-00-00|Promotion total|1
373|newspaper promotion #19-373|coupon news|19|newspaper|8|73600|1998-06-11-00-00-00|1998-08-11-00-00-00|Promotion total|1
194|newspaper promotion #19-194|coupon news|19|newspaper|8|73700|1999-04-09-00-00-00|1999-07-09-00-00-00|Promotion total|1
80|post promotion #20-80|downtown billboard|20|post|9|73800|1999-04-21-00-00-00|1999-07-21-00-00-00|Promotion total|1
460|newspaper promotion #16-460|ad news|16|newspaper|8|73900|1999-04-09-00-00-00|1999-07-09-00-00-00|Promotion total|1
72|internet promotion #29-72|online discount|29|internet|6|74200|2000-02-26-00-00-00|2000-03-26-00-00-00|Promotion total|1
341|newspaper promotion #19-341|coupon news|19|newspaper|8|74300|2000-08-23-00-00-00|2000-09-23-00-00-00|Promotion total|1
227|post promotion #20-227|downtown billboard|20|post|9|74400|1999-10-09-00-00-00|2000-01-09-00-00-00|Promotion total|1
384|flyer promotion #23-384|hospital flyer|23|flyer|5|74600|1999-03-27-00-00-00|1999-06-27-00-00-00|Promotion total|1
328|TV promotion #13-328|TV program sponsorship|13|TV|3|74900|2000-08-28-00-00-00|2000-09-28-00-00-00|Promotion total|1
356|magazine promotion #18-356|coupon magazine|18|magazine|7|75100|1999-03-29-00-00-00|1999-06-29-00-00-00|Promotion total|1
123|newspaper promotion #16-123|ad news|16|newspaper|8|75300|1999-01-29-00-00-00|1999-04-29-00-00-00|Promotion total|1
307|newspaper promotion #19-307|coupon news|19|newspaper|8|75600|1999-10-16-00-00-00|2000-01-16-00-00-00|Promotion total|1
316|TV promotion #13-316|TV program sponsorship|13|TV|3|75800|1998-11-10-00-00-00|1999-01-10-00-00-00|Promotion total|1
115|TV promotion #13-115|TV program sponsorship|13|TV|3|75900|2000-08-06-00-00-00|2000-09-06-00-00-00|Promotion total|1
105|newspaper promotion #16-105|ad news|16|newspaper|8|76000|2000-05-26-00-00-00|2000-06-26-00-00-00|Promotion total|1
418|newspaper promotion #19-418|coupon news|19|newspaper|8|76100|2000-02-12-00-00-00|2000-03-12-00-00-00|Promotion total|1
132|TV promotion #13-132|TV program sponsorship|13|TV|3|76300|1998-06-13-00-00-00|1998-08-13-00-00-00|Promotion total|1
197|internet promotion #25-197|loyal customer discount|25|internet|6|76400|1999-03-15-00-00-00|1999-06-15-00-00-00|Promotion total|1
332|TV promotion #30-332|promotion movie|30|TV|3|76500|1998-06-13-00-00-00|1998-08-13-00-00-00|Promotion total|1
520|magazine promotion #26-520|manufacture rebate magazine|26|magazine|7|76600|1999-04-01-00-00-00|1999-07-01-00-00-00|Promotion total|1
491|newspaper promotion #16-491|ad news|16|newspaper|8|76800|2000-05-08-00-00-00|2000-06-08-00-00-00|Promotion total|1
453|magazine promotion #18-453|coupon magazine|18|magazine|7|76900|1999-10-24-00-00-00|2000-01-24-00-00-00|Promotion total|1
33|post promotion #20-33|downtown billboard|20|post|9|77200|1998-09-15-00-00-00|1998-11-15-00-00-00|Promotion total|1
165|TV promotion #13-165|TV program sponsorship|13|TV|3|77400|2000-02-13-00-00-00|2000-03-13-00-00-00|Promotion total|1
135|internet promotion #25-135|loyal customer discount|25|internet|6|77600|1998-06-27-00-00-00|1998-08-27-00-00-00|Promotion total|1
236|magazine promotion #15-236|ad magazine|15|magazine|7|77800|1998-11-08-00-00-00|1999-01-08-00-00-00|Promotion total|1
136|flyer promotion #24-136|household flyer|24|flyer|5|78000|1998-07-17-00-00-00|1998-09-17-00-00-00|Promotion total|1
440|TV promotion #13-440|TV program sponsorship|13|TV|3|78200|1999-10-16-00-00-00|2000-01-16-00-00-00|Promotion total|1
169|TV promotion #12-169|TV commercial|12|TV|3|78800|1998-07-24-00-00-00|1998-09-24-00-00-00|Promotion total|1
192|TV promotion #13-192|TV program sponsorship|13|TV|3|78900|2000-02-14-00-00-00|2000-03-14-00-00-00|Promotion total|1
176|newspaper promotion #19-176|coupon news|19|newspaper|8|79000|1998-07-22-00-00-00|1998-09-22-00-00-00|Promotion total|1
514|magazine promotion #15-514|ad magazine|15|magazine|7|79300|1999-10-10-00-00-00|2000-01-10-00-00-00|Promotion total|1
533|newspaper promotion #19-533|coupon news|19|newspaper|8|79500|1999-04-17-00-00-00|1999-07-17-00-00-00|Promotion total|1
195|newspaper promotion #19-195|coupon news|19|newspaper|8|79600|2000-08-28-00-00-00|2000-09-28-00-00-00|Promotion total|1
150|flyer promotion #23-150|hospital flyer|23|flyer|5|79800|1998-07-10-00-00-00|1998-09-10-00-00-00|Promotion total|1
452|newspaper promotion #19-452|coupon news|19|newspaper|8|80200|1998-06-20-00-00-00|1998-08-20-00-00-00|Promotion total|1
455|radio promotion #32-455|radio program sponsorship|32|radio|10|80400|1998-07-01-00-00-00|1998-09-01-00-00-00|Promotion total|1
76|newspaper promotion #16-76|ad news|16|newspaper|8|80500|1998-11-22-00-00-00|1999-01-22-00-00-00|Promotion total|1
99|newspaper promotion #19-99|coupon news|19|newspaper|8|80600|1998-09-25-00-00-00|1998-11-25-00-00-00|Promotion total|1
270|newspaper promotion #19-270|coupon news|19|newspaper|8|81000|1998-07-17-00-00-00|1998-09-17-00-00-00|Promotion total|1
525|flyer promotion #24-525|household flyer|24|flyer|5|81200|2000-05-09-00-00-00|2000-06-09-00-00-00|Promotion total|1
211|internet promotion #14-211|ad|14|internet|6|81400|2000-05-21-00-00-00|2000-06-21-00-00-00|Promotion total|1
521|TV promotion #13-521|TV program sponsorship|13|TV|3|81500|2000-08-29-00-00-00|2000-09-29-00-00-00|Promotion total|1
501|radio promotion #31-501|radio commercial|31|radio|10|81600|2000-12-30-00-00-00|2001-01-30-00-00-00|Promotion total|1
507|TV promotion #13-507|TV program sponsorship|13|TV|3|81700|1999-04-22-00-00-00|1999-07-22-00-00-00|Promotion total|1
272|internet promotion #25-272|loyal customer discount|25|internet|6|81800|2000-02-26-00-00-00|2000-03-26-00-00-00|Promotion total|1
181|magazine promotion #26-181|manufacture rebate magazine|26|magazine|7|81900|1999-04-05-00-00-00|1999-07-05-00-00-00|Promotion total|1
383|internet promotion #25-383|loyal customer discount|25|internet|6|82000|1998-11-10-00-00-00|1999-01-10-00-00-00|Promotion total|1
301|newspaper promotion #19-301|coupon news|19|newspaper|8|82300|2000-08-17-00-00-00|2000-09-17-00-00-00|Promotion total|1
445|radio promotion #31-445|radio commercial|31|radio|10|82500|1998-09-03-00-00-00|1998-11-03-00-00-00|Promotion total|1
216|newspaper promotion #16-216|ad news|16|newspaper|8|82600|1998-07-10-00-00-00|1998-09-10-00-00-00|Promotion total|1
248|flyer promotion #23-248|hospital flyer|23|flyer|5|82700|2000-08-06-00-00-00|2000-09-06-00-00-00|Promotion total|1
379|post promotion #17-379|billboard|17|post|9|82800|1998-09-03-00-00-00|1998-11-03-00-00-00|Promotion total|1
338|post promotion #20-338|downtown billboard|20|post|9|82900|2000-02-26-00-00-00|2000-03-26-00-00-00|Promotion total|1
354|TV promotion #13-354|TV program sponsorship|13|TV|3|83000|2000-08-07-00-00-00|2000-09-07-00-00-00|Promotion total|1
158|post promotion #20-158|downtown billboard|20|post|9|83100|2000-12-20-00-00-00|2001-01-20-00-00-00|Promotion total|1
534|TV promotion #13-534|TV program sponsorship|13|TV|3|83400|2000-08-08-00-00-00|2000-09-08-00-00-00|Promotion total|1
233|radio promotion #32-233|radio program sponsorship|32|radio|10|83700|1999-04-18-00-00-00|1999-07-18-00-00-00|Promotion total|1
401|magazine promotion #26-401|manufacture rebate magazine|26|magazine|7|83900|2000-12-18-00-00-00|2001-01-18-00-00-00|Promotion total|1
376|newspaper promotion #16-376|ad news|16|newspaper|8|84100|1998-07-22-00-00-00|1998-09-22-00-00-00|Promotion total|1
353|magazine promotion #26-353|manufacture rebate magazine|26|magazine|7|84200|1999-04-24-00-00-00|1999-07-24-00-00-00|Promotion total|1
482|TV promotion #13-482|TV program sponsorship|13|TV|3|84300|2000-08-12-00-00-00|2000-09-12-00-00-00|Promotion total|1
74|post promotion #20-74|downtown billboard|20|post|9|84400|1999-04-16-00-00-00|1999-07-16-00-00-00|Promotion total|1
509|magazine promotion #18-509|coupon magazine|18|magazine|7|84500|1998-11-21-00-00-00|1999-01-21-00-00-00|Promotion total|1
331|post promotion #21-331|freeway billboard|21|post|9|84900|2000-05-31-00-00-00|2000-06-30-00-00-00|Promotion total|1
119|newspaper promotion #19-119|coupon news|19|newspaper|8|85200|1998-06-20-00-00-00|1998-08-20-00-00-00|Promotion total|1
111|internet promotion #29-111|online discount|29|internet|6|85500|2000-02-21-00-00-00|2000-03-21-00-00-00|Promotion total|1
269|internet promotion #29-269|online discount|29|internet|6|85600|1998-06-15-00-00-00|1998-08-15-00-00-00|Promotion total|1
425|flyer promotion #22-425|general flyer|22|flyer|5|86100|2000-05-14-00-00-00|2000-06-14-00-00-00|Promotion total|1
52|post promotion #20-52|downtown billboard|20|post|9|86300|2000-05-20-00-00-00|2000-06-20-00-00-00|Promotion total|1
